frequency,sensitivity
3284.7,-177.6
3292.3,-177.6
3299.9,-177.6
3307.5,-177.6
3315.1,-177.6
3322.8,-177.6
3330.4,-177.6
3338.1,-177.6
3345.8,-177.6
3353.5,-177.5
3361.2,-177.5
3369.0,-177.5
3376.8,-177.5
3384.5,-177.5
3392.3,-177.5
3400.2,-177.5
3408.0,-177.5
3415.9,-177.5
3423.7,-177.5
3431.6,-177.5
3439.5,-177.5
3447.5,-177.5
3455.4,-177.5
3463.4,-177.5
3471.4,-177.5
3479.4,-177.5
3487.4,-177.5
3495.4,-177.5
3503.5,-177.5
3511.6,-177.5
3519.7,-177.5
3527.8,-177.5
3535.9,-177.5
3544.1,-177.5
3552.2,-177.5
3560.4,-177.5
3568.6,-177.5
3576.8,-177.5
3585.1,-177.5
3593.4,-177.5
3601.6,-177.5
3609.9,-177.5
3618.3,-177.5
3626.6,-177.5
3635.0,-177.5
3643.3,-177.5
3651.7,-177.5
3660.2,-177.5
3668.6,-177.5
3677.1,-177.5
3685.5,-177.5
3694.0,-177.5
3702.5,-177.5
3711.1,-177.5
3719.6,-177.5
3728.2,-177.5
3736.8,-177.5
3745.4,-177.5
3754.0,-177.5
3762.7,-177.5
3771.4,-177.5
3780.1,-177.5
3788.8,-177.5
3797.5,-177.5
3806.3,-177.5
3815.0,-177.5
3823.8,-177.5
3832.7,-177.5
3841.5,-177.5
3850.3,-177.5
3859.2,-177.5
3868.1,-177.5
3877.0,-177.5
3886.0,-177.5
3894.9,-177.5
3903.9,-177.5
3912.9,-177.5
3921.9,-177.5
3931.0,-177.5
3940.0,-177.5
3949.1,-177.5
3958.2,-177.5
3967.3,-177.5
3976.5,-177.5
3985.7,-177.5
3994.8,-177.5
4004.1,-177.5
4013.3,-177.5
4022.5,-177.5
4031.8,-177.5
4041.1,-177.5
4050.4,-177.5
4059.8,-177.5
4069.1,-177.5
4078.5,-177.5
4087.9,-177.5
4097.3,-177.5
4106.8,-177.5
4116.2,-177.5
4125.7,-177.5
4135.2,-177.5
4144.8,-177.5
4154.3,-177.5
4163.9,-177.5
4173.5,-177.5
4183.1,-177.5
4192.8,-177.5
4202.4,-177.5
4212.1,-177.5
4221.8,-177.5
4231.6,-177.5
4241.3,-177.4
4251.1,-177.4
4260.9,-177.4
4270.7,-177.4
4280.6,-177.4
4290.4,-177.4
4300.3,-177.4
4310.2,-177.4
4320.2,-177.4
4330.1,-177.4
4340.1,-177.4
4350.1,-177.4
4360.1,-177.4
4370.2,-177.4
4380.3,-177.4
4390.4,-177.4
4400.5,-177.4
4410.6,-177.4
4420.8,-177.4
4431.0,-177.4
4441.2,-177.4
4451.4,-177.4
4461.7,-177.4
4472.0,-177.4
4482.3,-177.4
4492.6,-177.4
4503.0,-177.4
4513.4,-177.4
4523.8,-177.4
4534.2,-177.4
4544.6,-177.4
4555.1,-177.4
4565.6,-177.4
4576.1,-177.4
4586.7,-177.4
4597.3,-177.4
4607.9,-177.4
4618.5,-177.4
4629.1,-177.4
4639.8,-177.4
4650.5,-177.4
4661.2,-177.4
4672.0,-177.4
4682.7,-177.4
4693.5,-177.4
4704.4,-177.4
4715.2,-177.4
4726.1,-177.4
4737.0,-177.4
4747.9,-177.4
4758.8,-177.4
4769.8,-177.4
